time;debit
21491426;9.64945
21491427;8.35873
21491430;7.21026
21491436;7.28402
21491445;7.42626
21491458;7.67386
21491459;8.02684
21491462;7.51582
21491472;7.67386
21491479;7.39465
21491482;8.82761
21491483;8.49571
21491486;8.6959
21491487;7.80557
21491488;7.47894
21491490;8.31659
21491492;7.72655
21491498;8.30078
21491502;8.90136
21491510;9.33862
21491514;8.35347
21491547;6.73085
21491548;6.80988
21491576;6.73085
21491577;6.81514
21491579;7.37884
21491582;7.7845
21491586;6.79407
21491587;6.74666
21491590;6.82568
21491593;6.92578
21491599;8.09532
21491600;7.97942
21491602;7.93728
21491604;8.87502
21491608;8.60107
21491619;9.13316
21491624;8.39034
21491643;7.39992
21491652;8.44302
21491666;9.22272
21491673;8.01103
21491674;8.55366
21491682;8.21649
21491692;9.2596
21491695;9.18584
21491703;6.73085
21491705;6.73085
21491707;6.82568
21491710;6.93631
21491713;9.54935
21491715;9.11209
21491716;8.62741
21491719;9.4914
21491720;9.61784
21491722;9.04887
21491724;8.35873
21491726;9.30175
21491730;8.99619
21491732;8.39034
21491754;8.53259
21491757;7.98996
21491763;9.23853
21491770;10.3238
21491773;8.74331
21491796;6.83622
21491800;8.61161
21491803;9.13843
21491806;8.49044
21491817;7.45787
21491819;6.78353
21491825;7.27348
21491833;6.73085
21491838;6.91524
21491845;10.4186
21491847;11.4301
21491849;9.64945
21491858;8.03737
21491862;8.364
21491880;9.35443
21491883;9.55989
21491884;10.2131
21491900;8.66429
21491912;7.02587
21491918;8.2323
21491920;7.15231
21491921;8.58527
21491925;7.29982
21491927;8.02684
21491929;7.94254
21491943;7.19972
21491957;8.21649
21491964;6.98373
21491966;6.81514
21491978;7.04168
21491981;7.4684
21491986;8.32186
21491987;7.97942
21492003;8.11113
21492011;7.01007
21492016;8.03737
21492018;8.20069
21492023;7.46314
21492029;8.16381
21492031;8.87502
21492032;8.84868
21492034;7.23133
21492038;9.60203
21492040;8.68536
21492044;7.94254
21492048;8.84868
21492051;8.4641
21492056;8.11639
21492059;7.87406
21492064;8.54839
21492070;7.41045
21492081;7.92674
21492099;7.91093
21492103;6.75719
21492111;6.73085
21492120;7.05221
21492121;6.80988
21492137;8.06898
21492152;6.97319
21492174;6.95739
21492175;8.21649
21492185;7.18919
21492190;6.74139
21492193;6.94685
21492197;6.79407
21492208;6.74666
21492211;6.9047
21492218;8.55366
21492228;8.15854
21492232;7.83718
21492234;8.10059
21492241;7.75289
21492246;7.21553
21492266;7.08909
21492268;7.2366
21492269;6.86783
21492282;6.73085
21492287;6.83622
21492295;6.94158
21492304;6.73085
21492322;9.47033
21492323;9.25433
21492334;7.29982
21492343;8.76966
21492347;6.73085
21492351;7.77923
21492352;7.05748
21492358;7.01007
21492359;6.82041
21492378;6.89944
21492386;6.78353
21492401;9.2596
21492407;7.75289
21492431;7.46314
21492433;6.76773
21492434;6.73612
21492435;6.73085
21492442;6.81514
21492453;7.15758
21492456;6.75192
21492459;6.73085
21492467;7.34723
21492472;7.13651
21492477;6.88363
21492482;6.98373
21492483;7.53689
21492492;8.31132
21492493;7.4684
21492495;8.98565
21492497;8.11639
21492514;6.73085
21492516;6.73612
21492532;6.73085
21492538;7.57377
21492540;7.38938
21492541;8.33239
21492545;9.14897
21492547;7.33143
21492551;6.90997
21492553;7.36304
21492556;8.61688
21492563;8.796
21492571;6.86783
21492576;6.79407
21492590;7.90567
21492592;8.02157
21492599;6.85729
21492601;7.19446
21492603;7.79503
21492625;6.74666
21492626;6.96265
21492639;8.28498
21492642;9.38077
21492644;8.20595
21492650;8.07425
21492651;8.46937
21492658;8.70117
21492659;9.68633
21492661;7.47894
21492669;8.39561
21492681;8.89082
21492687;8.85395
21492692;8.93824
21492693;7.66333
21492696;8.36927
21492697;7.28402
21492699;7.48421
21492724;6.95739
21492725;7.15758
21492730;6.74139
21492732;6.73085
21492736;6.80461
21492740;7.19446
21492749;7.35777
21492757;7.73181
21492765;8.72224
21492771;8.43776
21492774;8.62214
21492781;9.1437
21492789;7.62645
21492796;10.0077
21492800;7.78977
21492802;7.6686
21492805;9.18058
21492810;9.35443
21492812;7.06275
21492818;7.5527
21492826;6.80988
21492828;6.73612
21492839;7.11543
21492844;7.73708
21492845;7.99523
21492847;7.79503
21492848;7.07856
21492852;8.28498
21492855;7.04695
21492860;6.73085
21492864;7.38938
21492873;7.83191
21492877;9.13843
21492881;8.05844
21492885;7.78977
21492887;7.48421
21492895;9.89179
21492897;6.99426
21492898;8.25864
21492900;9.07521
21492903;8.56946
21492908;10.1341
21492919;7.87932
21492928;8.38507
21492930;6.91524
21492935;7.4684
21492938;10.0393
21492939;8.7117
21492944;9.00146
21492945;9.31755
21492953;7.06275
21492954;7.17338
21492960;8.85395
21492963;7.64752
21492969;9.51248
21492988;6.76773
21492994;6.91524
21492997;6.85202
21493005;7.57377
21493013;8.69063
21493019;8.25337
21493023;7.61065
21493030;7.03114
21493032;7.48421
21493034;8.2481
21493037;6.95212
21493038;6.84675
21493043;8.22176
21493061;7.98996
21493064;7.32616
21493068;6.79407
21493076;6.73085
21493079;6.92051
21493081;8.65375
21493082;9.03833
21493084;9.2596
21493093;9.11736
21493096;8.51151
21493098;8.22703
21493099;7.51582
21493100;6.83622
21493104;7.1049
21493105;6.86256
21493107;6.7888
21493110;6.96265
21493111;6.73085
21493114;7.15231
21493116;6.73085
21493120;6.99953
21493123;8.66956
21493125;7.96888
21493126;8.19015
21493127;7.44206
21493128;6.81514
21493130;7.83191
21493132;8.96985
21493133;7.9004
21493135;7.01007
21493136;7.07329
21493140;7.1049
21493141;6.8889
21493142;8.88029
21493143;9.09102
21493147;7.83718
21493148;7.02587
21493149;7.21553
21493150;7.16285
21493152;8.55893
21493153;7.0206
21493154;7.65806
21493156;6.74139
21493164;6.90997
21493170;6.86783
21493176;7.63172
21493177;7.47894
21493180;6.89944
21493183;6.74666
21493261;6.73085
21493270;6.7888
21493338;6.73085
21493349;6.83095
21493351;7.18919
21493354;6.73085
21493357;6.73085
21493363;6.73085
21493370;6.7888
21493372;7.09963
21493374;6.85729
21493382;6.73085
21493384;7.77923
21493416;6.73612
21493420;6.73085
21493422;6.79934
21493425;6.91524
21493435;6.73085
21493437;6.73085
21493439;6.79407
21493440;6.74139
21493443;7.01007
21493444;6.73612
21493448;6.73085
21493450;6.89417
21493462;6.73085
21493475;6.82041
21493476;6.82041
21493478;7.20499
21493479;6.73085
21493484;6.86256
21493490;7.18392
21493493;7.13124
21493495;6.73085
21493507;6.73085
21493514;6.773
21493519;6.76246
21493520;6.79407
21493524;6.73085
21493526;6.92578
21493534;6.74666
21493541;6.73085
21493551;6.73085
21493560;7.24714
21493569;7.01534
21493587;6.74139
21493588;6.80461
21493609;6.73085
21493611;6.74666
21493619;7.07329
21493620;6.8889
21493632;6.73085
21493633;7.05221
21493640;6.773
21493646;6.73085
21493653;6.73085
21493706;6.73612
21493707;6.73612
21493710;6.73085
21493712;6.73085
21493716;6.73085
21493718;6.82568
21493722;6.73085
21493731;6.73085
21493740;6.80988
21493746;6.74666
21493748;6.73085
21493759;6.85202
21493760;6.73085
21493780;6.73085
21493783;6.73085
21493797;6.73085
21493799;6.89944
21493801;6.74139
21493810;6.8889
21493812;6.7888
21493813;6.73085
21493816;6.73085
21493819;6.73085
21493825;6.73085
21493850;6.87836
21493851;6.73085
21493868;6.79934
21493869;7.45787
21493870;7.46314
21493873;7.86352
21493874;6.99426
21493876;6.78353
21493877;6.91524
21493878;6.95739
21493880;7.19446
21493882;7.02587
21493883;8.26917
21493884;7.25241
21493885;7.67386
21493886;7.9004
21493887;7.55796
21493889;6.86256
21493893;7.24714
21493894;8.22176
21493895;8.20069
21493901;8.0321
21493922;6.73085
21493928;6.75192
21493930;7.25241
21493935;7.46314
21493949;6.79407
21493954;7.67386
21493957;8.67483
21493960;8.70117
21493968;6.73085
21493979;7.0048
21493986;6.80988
21493993;7.06275
21493998;7.95308
21493999;7.73181
21494002;7.77923
21494010;8.15854
21494015;7.32089
21494031;7.03114
21494037;6.94158
21494049;8.27444
21494054;6.77827
21494057;6.78353
21494073;6.94158
21494081;7.30509
21494084;7.96362
21494086;7.75289
21494090;7.41572
21494092;7.87406
21494099;7.18392
21494101;6.98373
21494104;7.03114
21494106;6.77827
21494108;7.01534
21494114;6.96792
21494117;7.90567
21494119;7.50528
21494121;6.78353
21494127;6.73085
21494137;6.73085
21494152;7.01007
21494157;8.85395
21494159;7.06802
21494164;6.74666
21494173;6.84675
21494179;6.79407
21494183;7.05748
21494185;7.43153
21494189;7.22607
21494202;7.90567
21494205;8.05318
21494209;7.81084
21494211;7.12597
21494212;7.28402
21494213;7.13124
21494216;6.74666
21494217;6.75192
21494219;6.82568
21494222;6.91524
21494224;7.48421
21494230;8.00049
21494232;7.24187
21494235;8.36927
21494238;6.97846
21494242;7.02587
21494244;7.85825
21494245;8.30605
21494250;7.9162
21494255;7.61065
21494256;7.26294
21494257;7.5843
21494261;7.13651
21494263;7.38938
21494268;7.53162
21494271;7.6686
21494272;8.52205
21494275;8.49044
21494277;9.12263
21494280;9.14897
21494281;9.54408
21494286;9.67579
21494291;8.54312
21494293;9.01726
21494298;7.75816
21494301;7.52109
21494309;8.22176
21494311;6.9047
21494313;8.55366
21494315;7.93201
21494316;8.6959
21494323;7.0206
21494346;7.82664
21494354;9.62311
21494365;8.54839
21494368;7.11016
21494376;7.19972
21494378;8.05844
21494379;8.44829
21494383;9.47033
21494386;8.79073
21494387;9.18058
21494389;8.74331
21494392;8.06371
21494395;7.31036
21494396;7.0206
21494398;7.31563
21494405;6.76773
21494411;7.65279
21494423;10.1605
21494425;8.2481
21494427;7.04168
21494429;8.364
21494430;8.24283
21494432;10.6978
21494442;8.796
21494444;6.92051
21494449;9.19638
21494451;10.1236
21494456;8.1322
21494457;7.71074
21494459;7.88986
21494460;7.11016
21494463;7.13124
21494466;7.21026
21494467;7.16285
21494471;6.92578
21494472;6.85729
21494477;8.26391
21494480;9.17004
21494485;10.9349
21494487;10.9823
21494488;10.4766
21494492;11.762
21494493;10.545
21494494;11.2352
21494496;9.98662
21494500;9.72847
21494501;7.88986
21494502;9.19111
21494505;8.06898
21494507;7.68967
21494509;8.04264
21494513;10.2553
21494515;8.88556
21494516;10.034
21494518;9.20165
21494519;8.97512
21494520;8.55366
21494522;7.88459
21494528;8.20595
21494531;8.66956
21494534;8.39561
21494538;8.54312
21494543;9.06468
21494545;8.35347
21494547;8.21122
21494549;8.56946
21494551;7.82137
21494554;7.92674
21494558;8.10586
21494562;8.33239
21494566;8.04264
21494567;8.96458
21494569;8.87502
21494570;9.7074
21494571;10.0709
21494573;10.4502
21494575;10.9296
21494577;9.64418
21494580;9.09628
21494583;7.43679
21494584;8.0321
21494585;10.6873
21494587;9.19638
21494588;8.56419
21494590;7.62645
21494598;8.51678
21494603;8.6959
21494604;7.34197
21494608;8.33239
21494610;8.80126
21494611;8.35873
21494616;9.20165
21494622;6.94685
21494623;7.31563
21494625;6.92051
21494627;7.48948
21494632;7.97942
21494636;8.25864
21494641;8.63795
21494644;8.81707
21494648;9.79696
21494651;11.5407
21494653;11.4986
21494654;10.6188
21494657;11.4512
21494658;11.2931
21494660;10.0498
21494661;10.1815
21494664;7.7845
21494668;7.62118
21494669;8.0321
21494670;9.14897
21494672;8.46937
21494673;8.89609
21494677;7.01534
21494679;8.40615
21494680;8.63268
21494682;7.81084
21494683;8.32712
21494686;10.1815
21494688;9.1595
21494691;10.0446
21494695;11.3616
21494699;10.3659
21494700;9.7232
21494702;10.3343
21494703;9.91286
21494704;8.99092
21494705;9.1595
21494706;9.07521
21494711;7.84772
21494731;7.4684
21494736;7.87932
21494745;8.79073
21494751;8.39034
21494756;9.76008
21494757;9.3913
21494759;10.9876
21494760;10.8506
21494761;10.3712
21494762;11.0403
21494766;11.0034
21494768;11.1983
21494769;10.5503
21494771;10.5029
21494773;7.59484
21494778;8.88029
21494785;9.06994
21494787;10.6241
21494791;8.68009
21494793;9.41765
21494794;8.66956
21494795;8.63795
21494798;10.0446
21494799;8.29025
21494800;8.73278
21494802;9.63891
21494806;9.8233
21494807;10.4028
21494811;8.74331
21494812;7.95835
21494816;7.48421
21494823;6.73085
21494824;6.86783
21494826;7.1049
21494827;7.14177
21494829;7.13651
21494834;8.04264
21494835;8.61688
21494850;10.9138
21494856;10.9718
21494858;11.4775
21494860;11.7409
21494863;11.0139
21494864;11.4933
21494870;11.2246
21494872;10.1183
21494873;10.0604
21494875;9.87598
21494879;10.6346
21494882;10.0077
21494883;10.8085
21494886;11.0086
21494896;8.88556
21494901;8.796
21494904;7.7845
21494907;8.53785
21494912;7.84772
21494923;10.682
21494924;11.3774
21494925;10.0024
21494929;11.3511
21494933;11.841
21494934;11.8779
21494938;9.09102
21494941;9.37023
21494943;9.29648
21494947;8.42195
21494948;8.63268
21494957;10.6768
21494958;11.7725
21494959;11.1562
21494961;8.98565
21494963;9.34916
21494964;9.92866
21494969;9.59677
21494970;8.97512
21494973;9.28594
21494975;8.04791
21494978;10.9612
21494980;8.76439
21494983;8.49571
21494990;7.23133
21494991;7.30509
21495003;8.22176
21495010;7.85825
21495015;8.148
21495016;8.09532
21495018;7.70547
21495020;7.37358
21495024;7.39992
21495025;7.28402
21495029;7.33143
21495037;7.82137
21495038;8.04264
21495041;7.88986
21495051;10.6978
21495052;9.78642
21495055;10.5398
21495056;10.3607
21495057;8.8118
21495058;8.70117
21495060;8.56419
21495064;7.73708
21495065;9.53882
21495068;9.55462
21495069;7.1207
21495070;7.53689
21495071;8.69063
21495074;9.06994
21495075;10.4766
21495079;10.4397
21495095;8.02157
21495097;7.81611
21495099;8.31659
21495100;8.00049
21495102;8.04264
21495107;7.50001
21495108;8.66956
21495112;8.12166
21495118;8.31132
21495120;8.65375
21495122;8.10586
21495126;7.80557
21495129;8.51678
21495130;8.96458
21495133;8.26917
21495134;8.77492
21495136;9.67579
21495139;10.7716
21495142;12.1202
21495143;11.4986
21495147;9.79169
21495148;10.5345
21495149;9.06468
21495151;9.38077
21495153;7.29455
21495156;9.99188
21495157;7.94254
21495159;8.99092
21495165;10.3923
21495178;11.0192
21495181;10.0235
21495183;9.01199
21495185;8.13747
21495188;8.72751
21495191;7.73181
21495192;7.6844
21495193;7.9004
21495195;8.08479
21495197;8.17961
21495198;8.10586
21495201;7.77923
21495202;7.58957
21495205;7.39992
21495209;7.52109
21495211;7.7845
21495217;7.53162
21495219;7.69494
21495223;8.64849
21495227;9.28594
21495230;10.4397
21495231;11.0034
21495232;11.3669
21495240;8.40088
21495241;8.63268
21495248;8.32712
21495254;6.80461
21495255;7.68967
21495258;8.97512
21495261;9.14897
21495262;9.53882
21495264;9.57569
21495266;9.75481
21495268;10.8032
21495269;9.41765
21495273;8.85921
21495274;8.19542
21495279;6.95739
21495287;7.15231
21495290;7.48421
21495291;7.60011
21495295;7.73181
21495301;9.7074
21495308;9.40711
21495309;9.44399
21495319;10.7452
21495323;11.3037
21495326;11.8042
21495333;8.27971
21495336;8.364
21495337;7.77396
21495338;7.16811
21495346;9.42818
21495347;10.0814
21495351;6.80461
21495355;10.092
21495358;10.4766
21495359;9.1595
21495363;7.59484
21495364;7.08909
21495366;7.34723
21495372;7.26294
21495373;7.16285
21495374;7.26294
21495376;6.773
21495378;7.21553
21495381;7.26821
21495384;7.42626
21495385;7.40518
21495390;7.72655
21495392;7.71074
21495393;8.66956
21495401;11.1087
21495408;10.8401
21495409;11.0086
21495411;10.0393
21495412;9.99715
21495416;8.60634
21495419;7.81084
21495420;7.96362
21495424;11.0297
21495426;8.66429
21495430;8.98565
21495432;7.5843
21495434;8.83814
21495437;7.97942
21495440;8.92243
21495442;8.94351
21495447;9.48613
21495448;9.10682
21495450;12.9526
21495451;15.0863
21495453;10.2131
21495455;10.1868
21495457;9.69686
21495458;12.1519
21495462;9.36496
21495463;9.48613
21495464;9.63891
21495468;9.68633
21495470;9.57569
21495472;10.2026
21495473;10.1289
21495474;9.88125
21495479;9.73901
21495480;9.89179
21495485;9.53355
21495487;9.27014
21495488;9.28594
21495489;9.23326
21495490;9.25433
21495492;9.20692
21495494;9.17004
21495495;9.23326
21495497;9.26487
21495498;9.2438
21495500;9.25433
21495501;9.2596
21495503;9.31755
21495504;9.23853
21495507;9.19638
21495509;9.34916
21495510;9.29121
21495511;9.36496
21495512;9.43345
21495514;9.25433
21495515;9.3597
21495522;9.2438
21495527;9.55989
21495528;9.71267
21495533;9.42291
21495536;9.38077
21495537;9.3597
21495538;9.43872
21495542;9.45452
21495543;9.3597
21495545;9.61784
21495551;9.35443
21495553;9.40711
21495559;9.54935
21495562;9.64945
21495566;9.7074
21495570;9.6073
21495571;9.65472
21495573;9.63891
21495584;9.48087
21495586;9.56516
21495588;9.55462
21495590;9.48087
21495591;9.61784
21495593;9.6073
21495597;9.48087
21495598;9.5915
21495599;9.87071
21495600;9.76535
21495604;9.64945
21495605;9.62838
21495610;9.58096
21495611;9.55462
21495620;9.4914
21495624;9.35443
21495628;9.3913
21495632;9.50721
21495635;9.50194
21495640;9.41238
21495642;9.53882
21495643;9.64418
21495646;9.71267
21495651;9.6073
21495653;9.60203
21495657;9.77589
21495661;9.8233
21495662;9.62838
21495666;9.69686
21495668;10.0024
21495672;9.76535
21495679;9.73901
21495680;9.69686
21495684;9.62838
21495689;9.52828
21495691;9.60203
21495698;10.1341
21495700;9.94974
21495704;9.76008
21495705;9.68106
21495708;9.84964
21495712;10.1183
21495716;9.8233
21495717;10.0972
21495719;9.89179
21495720;9.90759
21495723;9.81276
21495726;10.3185
21495730;9.70213
21495732;9.4914
21495734;9.33862
21495738;9.70213
21495739;9.84437
21495740;9.64418
21495743;9.74955
21495745;9.58623
21495748;9.52828
21495749;10.0182
21495750;9.90232
21495753;9.80223
21495767;9.88652
21495772;9.91813
21495779;9.84437
21495797;9.56516
21495803;10.1025
21495806;9.77589
21495812;9.77589
21495816;9.97081
21495820;9.79696
21495822;9.84964
21495828;10.1499
21495829;10.2553
21495830;10.4713
21495846;9.96027
21495847;9.89705
21495851;9.67052
21495858;10.0024
21495859;9.79696
21495870;9.62311
21495872;9.60203
21495881;9.95501
21495883;10.013
21495887;9.81803
21495888;9.74428
21495891;9.86018
21495897;10.0235
21495902;9.86018
21495903;10.0972
21495911;10.329
21495913;10.603
21495917;10.956
21495919;10.8717
21495920;10.682
21495922;10.8295
21495929;10.9665
21495931;11.172
21495933;11.762
21495935;10.4871
21495942;10.4818
21495945;10.8559
21495947;10.5029
21495948;10.5556
21495949;10.25
21495950;10.387
21495952;9.90232
21495955;10.4502
21495957;10.8137
21495961;10.7505
21495964;10.3396
21495968;11.0613
21495969;11.0877
21495974;10.5503
21495981;10.4239
21495982;10.5187
21495985;10.4028
21495988;10.6188
21495989;10.1131
21495994;10.6188
21495996;10.3975
21495998;10.2974
21495999;10.445
21496000;10.545
21496002;10.3607
21496005;10.2764
21496011;10.3343
21496012;10.466
21496016;10.5872
21496017;10.5714
21496019;10.0498
21496020;10.3396
21496021;10.308
21496023;10.3975
21496026;9.65998
21496034;10.387
21496038;10.4081
21496040;10.5187
21496044;10.7505
21496053;10.3396
21496055;10.7031
21496062;10.3343
21496065;10.2553
21496067;10.4608
21496069;10.329
21496085;10.2816
21496087;10.329
21496091;10.1973
21496094;10.4766
21496100;10.308
21496107;10.6926
21496113;10.2764
21496114;10.3923
21496120;10.3501
21496129;10.1973
21496131;10.4555
21496136;10.171
21496149;11.2721
21496156;11.2299
21496159;10.5767
21496161;10.5292
21496163;10.5767
21496178;10.6609
21496179;10.4555
21496180;10.3343
21496181;10.603
21496197;10.5819
21496200;10.4239
21496202;10.4502
21496206;10.7663
21496211;10.4871
21496216;10.3449
21496217;10.5556
21496224;10.329
21496233;10.4186
21496239;10.545
21496240;10.4976
21496241;10.5134
21496249;10.3501
21496251;10.4713
21496257;10.5767
21496271;10.6346
21496275;10.4924
21496277;10.4608
21496294;10.3817
21496296;10.5029
21496299;10.524
21496305;10.5292
21496311;10.4713
21496312;10.524
21496316;10.4818
21496323;10.6346
21496324;10.4766
21496326;11.0508
21496327;10.7084
21496338;10.545
21496340;10.6346
21496346;10.5819
21496351;10.5609
21496358;10.2448
21496359;10.0604
21496361;10.3817
21496371;10.5398
21496374;10.0972
21496379;10.3238
21496380;10.3185
21496385;10.2974
21496393;10.229
21496404;10.1763
21496417;10.4397
21496419;10.0024
21496420;10.329
21496423;10.4186
21496451;10.329
21496452;10.4502
21496457;10.4239
21496458;10.3343
21496462;10.819
21496463;10.4976
21496466;10.3027
21496470;10.2184
21496472;10.3132
21496476;10.3712
21496484;10.4133
21496489;10.3132
21496493;10.3607
21496503;10.2026
21496512;9.94974
21496519;10.3238
21496525;10.4713
21496535;10.1921
21496539;10.2974
21496543;10.1921
21496550;10.4766
21496557;10.0393
21496558;10.308
21496562;10.5714
21496567;10.329
21496568;10.1868
21496570;10.6399
21496571;10.4713
21496573;10.4133
21496579;10.2711
21496584;10.3185
21496594;10.2237
21496599;9.97608
21496607;10.5503
21496621;10.2869
21496638;10.2131
21496639;10.445
21496642;10.0551
21496656;10.2237
21496665;10.0814
21496666;10.1025
21496674;9.9392
21496678;10.1025
21496688;9.80223
21496704;10.4344
21496705;10.2764
21496709;9.81803
21496710;10.2553
21496714;10.329
21496725;10.1973
21496732;10.1815
21496738;10.0656
21496746;10.1236
21496747;10.5134
21496752;10.1921
21496754;10.1763
21496756;10.0604
21496757;10.1447
21496758;10.1921
21496766;10.1973
21496769;10.0393
21496782;10.3712
21496793;10.1973
21496796;10.3449
21496808;10.1657
21496810;10.0709
21496818;10.1605
21496825;10.1131
21496833;10.0762
21496839;10.0288
21496852;9.7232
21496863;9.90759
21496872;10.1236
21496877;9.67052
21496888;9.86018
21496900;10.0393
21496906;10.329
21496913;10.0077
21496922;10.2606
21496923;10.171
21496933;9.84964
21496934;10.1763
21496937;10.1447
21496943;10.2079
21496950;9.84964
21496962;10.1552
21496972;10.1183
21496974;10.0762
21496975;10.1973
21496979;10.3343
21496980;10.1657
21496984;10.2079
21496992;9.99715
21496994;10.1394
21496995;10.1131
21497004;9.89179
21497007;10.229
21497009;10.2079
21497010;10.1447
21497015;10.229
21497026;10.092
21497030;10.0867
21497033;10.1552
21497045;10.3185
21497046;10.5767
21497056;10.1025
21497065;10.2026
21497077;10.2816
21497079;9.97608
21497081;10.3185
21497082;10.229
21497086;10.1605
21497088;10.3343
21497091;10.1868
21497092;10.3396
21497101;10.2816
21497102;10.2869
21497115;10.2658
21497117;10.2131
21497122;10.1552
21497128;10.5714
21497135;10.3659
21497136;10.5609
21497138;10.5345
21497145;10.5767
21497157;10.545
21497161;10.2395
21497164;10.3975
21497166;10.329
21497167;10.2816
21497169;10.2764
21497182;10.0972
21497191;10.2869
21497209;10.1289
21497215;10.2079
21497218;10.2448
21497223;10.2764
21497228;10.3396
21497229;10.3343
21497241;10.8611
21497242;10.5292
21497249;10.466
21497263;10.2237
21497267;10.2395
21497272;10.1236
21497281;10.2237
21497287;10.3712
21497291;10.0972
21497301;10.1447
21497304;10.1394
21497307;10.2869
21497316;10.2448
21497319;10.4555
21497321;10.3659
21497323;10.1605
21497327;10.4608
21497328;10.4397
21497332;10.1289
21497334;10.3554
21497336;10.4133
21497348;10.1657
21497351;10.0814
21497357;10.1552
21497363;10.2606
21497366;10.1078
21497377;9.9234
21497387;10.4186
21497391;10.0972
21497406;10.5925
21497428;10.4291
21497429;10.3659
21497440;10.2079
21497444;10.524
21497453;10.2764
21497456;10.3132
21497458;10.4555
21497464;10.5503
21497466;10.4871
21497468;10.2184
21497473;10.3501
21497490;9.31228
21497498;10.6083
21497499;10.5029
21497505;10.3396
21497511;10.5503
21497512;10.4239
21497520;10.2816
21497523;10.2922
21497524;10.2974
21497527;10.1025
21497532;10.171
21497537;10.1183
21497540;10.3132
21497546;10.2184
21497568;10.2448
21497570;10.3554
21497580;10.4871
21497601;10.2711
21497602;10.5398
21497607;10.329
21497614;10.4081
21497616;10.3396
21497618;10.5714
21497620;10.3343
21497622;10.3185
21497626;10.4976
21497628;10.3817
21497629;10.2922
21497631;10.1973
21497634;10.3765
21497637;10.4766
21497642;10.3607
21497651;10.3817
21497663;10.229
21497665;10.3765
21497670;10.3554
21497693;10.3027
21497695;10.3396
21497696;10.3185
21497701;10.3343
21497712;10.387
21497713;10.1763
21497715;10.2974
21497737;10.2658
21497740;10.5767
21497743;10.445
21497745;10.1183
21497753;10.1921
21497759;10.3712
21497765;10.4766
21497768;10.3923
21497777;10.5714
21497778;10.4133
21497785;10.4186
21497792;10.2974
21497795;10.2606
21497804;10.3975
21497810;10.4766
21497817;10.4608
21497824;10.308
21497829;10.466
21497832;10.3659
21497833;10.2764
21497846;10.4081
21497848;10.2974
