YTR064;YTR063;YTR062;YTR061;YPR066;YPR064
23.963;23.019;22.993;23.006;2.238;0.827
24.111;23.038;23.012;23.025;2.259;0.835
24.201;23.077;23.07;23.089;2.215;0.858
24.227;23.128;23.109;23.122;2.269;0.876
24.201;23.237;23.218;23.237;2.259;0.927
24.124;23.276;23.263;23.276;2.269;0.948
24.072;23.334;23.301;23.314;2.22;0.974
24.034;23.359;23.346;23.359;2.292;0.992
24.015;23.398;23.366;23.379;2.225;1.012
24.227;23.456;23.43;23.436;2.23;1.053
24.355;23.436;23.417;23.424;2.238;1.046
24.336;23.43;23.411;23.417;2.235;1.04
24.092;23.424;23.404;23.411;2.238;1.043
24.002;23.417;23.398;23.411;2.225;1.038
23.938;23.404;23.372;23.379;2.271;1.033
23.86;23.391;23.353;23.366;2.223;1.022
23.764;23.359;23.34;23.353;2.264;1.01
23.655;23.34;23.321;23.334;2.228;1.004
23.558;23.301;23.289;23.301;2.248;0.992
23.469;23.282;23.25;23.263;2.253;0.976
23.379;23.244;23.212;23.224;2.21;0.961
23.314;23.212;23.192;23.205;2.279;0.945
23.237;23.173;23.16;23.173;2.212;0.93
23.16;23.154;23.122;23.135;2.274;0.907
23.089;23.115;23.083;23.096;2.218;0.889
23.044;23.077;23.051;23.064;2.22;0.873
22.999;23.057;23.019;23.032;2.243;0.858
22.935;23.025;22.999;23.012;2.197;0.843
22.897;22.987;22.967;22.98;2.248;0.827
22.877;22.967;22.935;22.942;2.194;0.819
22.839;22.935;22.903;22.922;2.248;0.801
22.807;22.897;22.884;22.89;2.215;0.794
22.768;22.884;22.865;22.877;2.223;0.778
22.71;22.845;22.82;22.839;2.205;0.763
22.691;22.839;22.807;22.826;2.23;0.755
22.653;22.813;22.794;22.813;2.207;0.745
22.588;22.788;22.768;22.781;2.223;0.735
22.569;22.775;22.755;22.768;2.207;0.73
22.537;22.768;22.743;22.762;2.238;0.724
22.505;22.762;22.736;22.749;2.212;0.719
22.486;22.749;22.723;22.743;2.225;0.714
22.46;22.736;22.71;22.73;2.215;0.712
22.428;22.723;22.691;22.697;2.205;0.709
22.415;22.685;22.659;22.672;2.205;0.704
22.402;22.672;22.646;22.653;2.21;0.701
22.389;22.646;22.627;22.64;2.212;0.696
22.37;22.595;22.575;22.582;2.215;0.686
22.37;22.575;22.55;22.569;2.205;0.686
22.383;22.563;22.543;22.556;2.199;0.681
22.486;22.633;22.614;22.64;2.207;0.678
22.492;22.646;22.627;22.646;2.223;0.681
22.46;22.672;22.653;22.672;2.199;0.719
22.434;22.672;22.653;22.665;2.215;0.722
22.415;22.64;22.62;22.62;2.199;0.724
22.299;22.588;22.556;22.575;2.241;0.706
22.28;22.563;22.55;22.563;2.21;0.704
22.248;22.55;22.518;22.531;2.233;0.701
22.152;22.46;22.434;22.434;2.243;0.691
22.113;22.415;22.402;22.396;2.202;0.686
22.074;22.376;22.351;22.351;2.21;0.678
22.061;22.357;22.331;22.325;2.212;0.676
22.049;22.351;22.312;22.312;2.243;0.668
22.042;22.318;22.28;22.28;2.284;0.66
22.036;22.306;22.28;22.293;2.264;0.652
22.036;22.28;22.261;22.254;2.259;0.624
22.074;22.306;22.28;22.306;2.194;0.622
22.274;22.421;22.396;22.408;2.259;0.614
22.306;22.434;22.408;22.421;2.215;0.614
22.325;22.453;22.434;22.434;2.248;0.614
22.415;22.524;22.511;22.531;2.261;0.616
22.441;22.55;22.524;22.543;2.22;0.619
22.453;22.575;22.563;22.569;2.23;0.629
22.46;22.582;22.575;22.595;2.223;0.64
22.447;22.62;22.608;22.614;2.235;0.652
22.428;22.633;22.614;22.633;2.22;0.663
22.402;22.64;22.62;22.627;2.21;0.668
22.363;22.62;22.595;22.608;2.22;0.678
22.325;22.595;22.569;22.575;2.215;0.681
22.312;22.582;22.556;22.556;2.259;0.683
22.286;22.556;22.531;22.531;2.218;0.686
22.261;22.518;22.505;22.511;2.218;0.683
22.216;22.46;22.441;22.453;2.212;0.676
22.184;22.441;22.415;22.421;2.233;0.668
22.145;22.428;22.402;22.408;2.212;0.66
22.132;22.402;22.376;22.389;2.225;0.655
